name,price,unit,supermaket,time
泰国橡胶木4/8×2-5×900-1300mm,4753.00,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木5/8×2-5×900-1300mm,4212.50,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木6/8×2-5×900-1300mm,4376.50,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木7/8×2-5×900-1300mm,4427.50,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木1×2-5×900-1300mm,3131.00,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木1.5×2-5×900-1300mm,3321.00,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木1.75×2-5×900-1300mm,3574.50,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木2.0×2-5×900-1300mm,3539.50,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木2.75×2-5×900-1300mm,2603.00,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木3×2-5×900-1300mm,3977.50,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木4/8×2.5-4×600-1100mm,4678.50,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木5/8×2.5-4×600-1100mm,4478.50,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木6/8×2.5-4×600-1100mm,4440.50,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木7/8×2.5-4×600-1100mm,4078.50,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木1×2.5-4×600-1100mm,3814.00,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木1.5×2.5-4×600-1100mm,3690.50,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木1.75×2.5-4×600-1100mm,3831.50,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木2.0×2.5-4×600-1100mm,3591.00,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木2.75×2.5-4×600-1100mm,3837.00,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木3×2.5-4×600-1100mm,2979.00,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木7/8×2-5×900-1300mm,4463.00,元/立方米,江西鱼珠木材市场,2024-08-30
马来西亚橡胶木2×2-5×900-1850mm,3986.00,元/立方米,江西鱼珠木材市场,2024-08-30
马来西亚橡胶木2.75×2-5×900-1850mm,3230.00,元/立方米,江西鱼珠木材市场,2024-08-30
马来西亚橡胶木3×2-5×900-1850mm,3896.50,元/立方米,江西鱼珠木材市场,2024-08-30
马来西亚橡胶木4×2-5×900-1850mm,4337.00,元/立方米,江西鱼珠木材市场,2024-08-30
新西兰辐射松锯材16mm×100-200mm×2500-4900mm,2410.00,元/立方米,江西鱼珠木材市场,2024-08-30
新西兰辐射松锯材19mm×100-200mm×2500-4900mm,2636.00,元/立方米,江西鱼珠木材市场,2024-08-30
新西兰辐射松锯材22mm×100-200mm×2500-4900mm,2288.50,元/立方米,江西鱼珠木材市场,2024-08-30
新西兰辐射松锯材25mm×100-200mm×2500-4900mm,2534.50,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木4/8×2-5×900-1300mm,4753.00,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木5/8×2-5×900-1300mm,4212.50,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木6/8×2-5×900-1300mm,4376.50,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木7/8×2-5×900-1300mm,4427.50,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木1×2-5×900-1300mm,3131.00,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木1.5×2-5×900-1300mm,3321.00,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木1.75×2-5×900-1300mm,3574.50,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木2.0×2-5×900-1300mm,3539.50,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木2.75×2-5×900-1300mm,2603.00,元/立方米,江西鱼珠木材市场,2024-08-30
泰国橡胶木3×2-5×900-1300mm,3977.50,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木4/8×2.5-4×600-1100mm,4678.50,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木5/8×2.5-4×600-1100mm,4478.50,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木6/8×2.5-4×600-1100mm,4440.50,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木7/8×2.5-4×600-1100mm,4078.50,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木1×2.5-4×600-1100mm,3814.00,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木1.5×2.5-4×600-1100mm,3690.50,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木1.75×2.5-4×600-1100mm,3831.50,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木2.0×2.5-4×600-1100mm,3591.00,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木2.75×2.5-4×600-1100mm,3837.00,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木3×2.5-4×600-1100mm,2979.00,元/立方米,江西鱼珠木材市场,2024-08-30
越南橡胶木7/8×2-5×900-1300mm,4463.00,元/立方米,江西鱼珠木材市场,2024-08-30
